"cpu_name","task_id","config_id","profile_id","seconds"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2020.0_debug","py38_16threads","3.4508491357167563"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0_debug","py38_16threads","3.9868509769439697"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2020.0_debug","py38_16threads","0.23772984881733739"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2020.0_debug","py38_16threads","0.0002763860228708626"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2020.0","py38_2threads","0.7158164126532418"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2020.0","py38_2threads","4.171112537384033"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0","py38_2threads","3.849708159764608"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2020.0","py38_2threads","1.156931373808119"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2020.0","py38_2threads","0.0002739431694518989"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2020.0","py38_16threads","0.48303106852940153"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2020.0","py38_16threads","3.5775644779205322"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2020.0","py38_16threads","3.847834348678589"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2020.0","py38_16threads","0.2617400609529935"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2020.0","py38_16threads","0.0002779965934638888"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2024.0","py38_2threads","0.7166073322296143"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2024.0","py38_2threads","4.597575823465983"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2024.0","py38_2threads","3.852304697036743"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2024.0","py38_2threads","1.15168031056722"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2024.0","py38_2threads","0.00027131900402344185"
"AMD Ryzen Threadripper 3970X 32-Core Processor","svd","mkl2024.0","py38_16threads","0.47278670831160113"
"AMD Ryzen Threadripper 3970X 32-Core Processor","evd","mkl2024.0","py38_16threads","3.9956154028574624"
"AMD Ryzen Threadripper 3970X 32-Core Processor","cvxprog","mkl2024.0","py38_16threads","3.8887998263041177"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot4096","mkl2024.0","py38_16threads","0.24371560982295445"
"AMD Ryzen Threadripper 3970X 32-Core Processor","dot524288","mkl2024.0","py38_16threads","0.0002967028034403973"
